,country,sector,gas,emissions_quantity,year
710,RUS,oil-and-gas-production-and-transport,ch4,17263126.54,2015
711,RUS,oil-and-gas-production-and-transport,co2e_100yr,1085142889.0,2015
712,RUS,oil-and-gas-production-and-transport,co2e_20yr,2173721079.0,2015
713,SAU,oil-and-gas-production-and-transport,co2,88017340.87,2015
714,SAU,oil-and-gas-production-and-transport,ch4,2780951.286,2015
715,SAU,oil-and-gas-production-and-transport,co2e_100yr,170889689.2,2015
716,SAU,oil-and-gas-production-and-transport,co2e_20yr,341112749.0,2015
717,SEN,oil-and-gas-production-and-transport,co2,2577.200486,2015
718,SEN,oil-and-gas-production-and-transport,ch4,175.6911783,2015
719,SEN,oil-and-gas-production-and-transport,co2e_100yr,7812.797599,2015
720,SEN,oil-and-gas-production-and-transport,co2e_20yr,18027.18571,2015
721,SRB,oil-and-gas-production-and-transport,co2e_100yr,708892.9987,2015
722,SRB,oil-and-gas-production-and-transport,co2e_20yr,1397187.528,2015
723,SSD,oil-and-gas-production-and-transport,co2,1942988.757,2015
724,SSD,oil-and-gas-production-and-transport,ch4,63577.10174,2015
725,SSD,oil-and-gas-production-and-transport,co2e_100yr,3837586.389,2015
726,SSD,oil-and-gas-production-and-transport,co2e_20yr,7522397.3,2015
727,SUR,oil-and-gas-production-and-transport,co2,196580.4105,2015
728,SUR,oil-and-gas-production-and-transport,ch4,6667.96926,2015
729,SUR,oil-and-gas-production-and-transport,co2e_100yr,395285.8944,2015
730,SUR,oil-and-gas-production-and-transport,co2e_20yr,789709.2476,2015
731,TCD,oil-and-gas-production-and-transport,co2,1280418.063,2015
732,TCD,oil-and-gas-production-and-transport,ch4,50212.30329,2015
733,TCD,oil-and-gas-production-and-transport,co2e_100yr,2776744.701,2015
734,TCD,oil-and-gas-production-and-transport,co2e_20yr,5693927.352,2015
735,TKM,oil-and-gas-production-and-transport,co2,78883261.87,2015
736,TKM,oil-and-gas-production-and-transport,ch4,2642706.541,2015
