,country_code,year,emissions_total,emissions_per_capita,methane_emissions(kt_CO2_emissions),nitrous_oxide_emissions(mt_CO2_emissions),pop_0014_percent,pop_1564_percent,pop_65up_percent,pop_growth_percent,pop_total,urban_pop_total,urban_pop_percent,fossil_energy_use_imp,electricity_access_percent_imp,fdi_percent_gdp_imp,cereal_yield_imp,emissions_per_gdp_imp,gdp_per_capita_imp,gni_per_capita_imp,forest_area_in_per_imp,renewable_energy_consumption_imp,energy_use_per_capita_imp,pop_urb_aggl_percent_imp
2313,MNG,1998,8550.0,3.5548747935678,10470.0002670288,9270.0,36.9650564195932,59.598814792517,3.43612878788981,0.976711151367819,2405148.0,1362973.0,56.669,95.000626957569,95.3922424316406,0.2870217442144795,634.1,1.03510458121855,467.513952978486,510.0,9.22913431877874,3.73913692162096,931.743493539691,29.9667629601172
2314,MNG,1997,8520.0,3.57717009737712,10189.9995803833,9200.0,37.6832748229627,58.8653865410683,3.45133863596907,1.04407039076519,2381771.0,1350798.0,56.714,94.9800155988978,95.3922424316406,0.2870217442144795,756.7,1.07792048549284,495.821891709157,570.0,9.23482759745975,3.39439771488489,933.437345571845,29.3970746977774
2315,MNG,1996,8690.0,3.68683849568504,9640.00034332275,8760.0,38.3346563242857,58.1982517851893,3.46709189052508,1.13920197607163,2357033.0,1337852.0,56.76,94.905622305949,95.3922424316406,0.2870217442144795,660.5,1.1619675192301,570.937900470138,540.0,9.24052087614076,3.44084908317534,962.997123926564,28.8588237839691
2316,MNG,1995,10280.0,4.41138480578321,9109.99965667725,8510.0,38.9581147934405,57.5563111460227,3.48557406053683,1.24461756856871,2330334.0,1323746.0,56.805,95.7153459651623,95.3922424316406,0.2870217442144795,735.0,1.43102492462208,623.157455213889,460.0,9.24621415482178,3.0093382188638,1156.39217382573,28.3551199098498
2317,MNG,1994,10320.0,4.48401266994278,8449.99980926514,8200.0,39.5571299805063,56.9213783730294,3.52149164646435,1.36486027437646,2301510.0,1308431.0,56.851,96.2540296964752,95.3922424316406,0.2870217442144795,732.0,1.56024118658495,402.265074762866,420.0,9.25190743350279,3.04339554324676,1173.66250852701,27.8906891562496
2318,MNG,1993,11850.0,5.21954921594442,8609.99965667725,8320.0,40.1045407205135,56.3109071156095,3.58455216387707,1.50073653904303,2270311.0,1291716.0,56.896,96.810208051345,95.3922424316406,0.2870217442144795,858.4,1.86886854453205,338.456552496364,510.0,9.2576007121838,2.67180483048768,1375.86964957664,27.4668536601373
2319,MNG,1992,12860.0,5.75007131698095,8729.99954223633,8390.0,40.5829929753876,55.7513804533749,3.66562657123752,1.64171013721366,2236494.0,1273504.0,56.942,97.349904948459,95.3922424316406,0.2870217442144795,833.4,2.01043885184273,589.14169403082,810.0,9.26329399086481,2.40016888682143,1493.30469923013,27.0873518998933
2350,MDA,2015,8020.00045776367,2.82794875621873,3470.00002861023,920.0,18.197601260516,70.4440548387924,11.3583439006916,-0.767049559673864,2835978.0,1205007.0,42.49,75.8021754207306,100.0,0.0943805252587443,2370.9,0.305720115643993,2731.06558405856,3290.0,11.7518248175182,24.73,1231.6124957689,18.63202609342295
2351,MDA,2014,7710.00003814697,2.69786534053008,3470.00002861023,1000.0,17.829583686366,71.2719044350382,10.8985118785958,-0.0609720602101012,2857815.0,1214457.0,42.496,88.6880222394062,100.0,0.429328557320185,3162.3,0.305728517682548,3327.78677471175,3740.0,11.6794403892944,24.31,1155.26267445583,18.63202609342295
2352,MDA,2013,7179.99982833862,2.51087749517185,3430.0000667572,940.0,17.6710554757231,71.8053299977858,10.5236145264911,-0.0267837694756349,2859558.0,1216084.0,42.527,86.3312122576328,100.0,0.323901383233384,2851.8,0.299658371936683,3321.04391743353,3620.0,11.6070559610706,23.82,1073.53164370158,18.63202609342295
2353,MDA,2012,8140.00034332275,2.84583157129149,3440.00005722046,850.0,17.7359769878483,71.8776182816417,10.3864047305101,-0.0131095435392298,2860324.0,1217297.0,42.558,90.5707079061747,100.0,0.305426296657883,2344.2,0.386612887845529,3044.80847790641,3140.0,11.5416920267803,22.14,1194.09374602318,18.63202609342295
2354,MDA,2011,8340.00015258789,2.91537143634751,3450.00004768372,880.0,17.8565622099807,71.713818693167,10.4296190968524,-0.0578362648793712,2860699.0,1218343.0,42.589,91.1438904877847,100.0,0.424631645942162,2865.9,0.421814004154059,2941.36211882435,2730.0,11.4727549467275,20.37,1206.7103180027,18.63202609342295
2355,MDA,2010,8300.00019073486,2.8997112833475,3410.00008583069,810.0,17.9964254118742,71.4628759937643,10.5406985943615,-0.0998329740168972,2862354.0,1219935.0,42.62,90.3540037732955,100.0,0.0997851981291409,2734.0,0.453444568216876,2436.79935908401,2380.0,11.400304414003,20.01,1225.31280198047,18.63202609342295
2356,MDA,2009,7639.9998664856,2.66646838000721,3240.00000953674,730.0,18.1075838930202,71.2004624625866,10.6919536443932,-0.12626339171085,2865213.0,1222042.0,42.651,92.643225273193,100.0,-0.0878769834811475,2372.7,0.452394300462249,1898.43548503943,1950.0,11.2949224688355,4.84,1108.83833069304,18.63202609342295
2357,MDA,2008,8149.99961853027,2.84087627914566,3319.9999332428,830.0,18.2493569704508,70.9559959521795,10.7946470773697,-0.190349156188775,2868833.0,1224475.0,42.682,89.0628269934718,100.0,0.515784876513779,3221.6,0.45654539075438,2110.56198967544,1870.0,11.2034052903618,4.93,1165.93332550204,18.63202609342295
2358,MDA,2007,8140.00034332275,2.83199498149731,3490.00000953674,810.0,18.5082810936631,70.7015218310362,10.7901970753007,-0.231718324871942,2874299.0,1227699.0,42.713,89.5552525321123,100.0,0.275380101066816,2110.9,0.500979743217465,1531.22186179676,1440.0,11.1118881118881,4.44,1168.03297082176,18.63202609342295
2359,MDA,2006,7980.00001907349,2.76990330645005,3440.00005722046,820.0,18.8544766239181,70.4373827594358,10.7081406166461,-0.277922768195992,2880967.0,1231441.0,42.744,88.0096905324576,100.0,-0.0211252446708674,2550.2,0.519537605550689,1183.02103050816,1280.0,11.0203709334144,4.98,1197.64579045855,18.63202609342295
2360,MDA,2005,8180.00030517578,2.83144436720017,3549.99995231628,860.0,19.2831876586639,70.0919457327493,10.6248666085867,-0.243318711825946,2888985.0,1235763.0,42.775,89.4211487239022,98.5999984741211,-0.00535412727079571,2793.4,0.575342729141726,1034.39402990012,1120.0,10.9288537549407,4.27,1210.52376526704,18.63202609342295
2361,MDA,2004,7780.00020980835,2.68644282514619,3630.00011444092,870.0,19.783590073179,69.6552788358673,10.5611310909538,-0.247447154059097,2896023.0,1245000.0,42.99,89.2940717975204,99.0999984741211,0.123929589160839,2832.0,0.606695712389673,897.178494749468,910.0,10.8406326034063,4.85,1166.00386115718,18.63202609342295
2362,MDA,2003,7769.99998092651,2.67635896033495,3700.00004768372,830.0,20.3182866949586,69.1321310157201,10.5495822893213,-0.281602495320467,2903198.0,1259669.0,43.389,87.8047139991137,100.0,0.00555301060863898,2353.5,0.66822253666326,682.319095965299,710.0,10.7523577730453,5.92,1157.37094059723,18.63202609342295
2363,MDA,2002,7179.99982833862,2.46618012675707,3650.00009536743,870.0,20.9054928077206,68.5419691477712,10.5525380445082,-0.231580062051396,2911385.0,1274866.0,43.789,89.4837595926104,99.0,0.0270787748353443,2502.8,0.671227109318646,570.799866188293,590.0,10.6575425790754,5.83,1063.27813051177,18.63202609342295
2364,MDA,2001,7020.0,2.40564607189181,3609.99989509583,940.0,21.5138622750001,68.0010432088934,10.4850945161065,-0.223625637302563,2918135.0,1289495.0,44.189,90.9702715835158,100.0,0.00810441953457704,2487.1,0.718484391773479,507.404076252819,500.0,10.56599756691,5.6,1045.89506654079,18.63202609342295
2365,MDA,2000,6710.0,2.29427750431844,3859.99989509583,780.0,22.0921527161829,67.5286064710638,10.3792408127533,-0.203371722054682,2924668.0,1304080.0,44.589,91.484748344828,100.0,0.00620911013899385,2032.8,0.745064700446244,440.538683980372,490.0,10.4744525547445,5.72,985.730004226121,18.63202609342295
2366,MDA,1999,7350.0,2.50800000818939,4030.00020980835,820.0,22.7899104018123,66.9418410467159,10.2682485514718,-0.157010551960425,2930622.0,1318545.0,44.992,92.1852472381099,100.0,0.00341651710490414,2443.9,0.852210179260401,399.499818596336,510.0,10.4103343465046,4.87436842868399,1063.12584836939,18.63202609342295
2367,MDA,1998,8650.0,2.94696117199794,4030.00020980835,890.0,23.5722748461365,66.2499362586809,10.1777888951826,-0.0403975726076274,2935227.0,1332417.0,45.394,92.8344920982615,100.0,-0.0429735961394032,2748.9,0.982817332721985,578.734627562193,580.0,10.3494378608326,4.07533434469118,1217.35082158893,18.63202609342295
2368,MDA,1997,9580.0,3.26248385359961,4400.00009536743,1060.0,24.2470878497934,65.6405706281559,10.1123415220506,-0.369835352113778,2936413.0,1344789.0,45.797,93.2391986452046,100.0,0.0233150816280185,3432.6,1.02872341085026,657.29213459795,630.0,10.2885783718105,3.8520726300006,1318.17118368567,18.63202609342295
2369,MDA,1996,10400.0,3.52866172450449,4929.99982833862,1390.0,24.8343921655819,65.0939067016237,10.0717011327944,-0.200220624729015,2947293.0,1361649.0,46.2,94.2949714040793,100.0,0.0330359668829821,2288.5,1.1547462621837,575.145455139019,2864.2606929737,10.2277558457334,3.66039416573097,1375.82147414594,18.63202609342295
2370,MDA,1995,12140.0,4.11079506975484,4909.99984741211,1460.0,25.3716490614755,64.6207442944846,10.0076066440399,-0.485916252801866,2953200.0,1367154.0,46.294,94.6896183807011,100.0,0.0296637737925202,2989.5,1.29195464432023,593.586592988924,2864.2606929737,10.1700576981476,2.84261829350711,1597.61580658269,18.63202609342295
2371,MDA,1994,14140.0,4.7648171829956,5000.0,1440.0,25.8328402127604,64.2711696522538,9.89599013498583,-0.243403376968124,2967585.0,1376574.0,46.387,97.2712780233024,100.0,0.2870217442144795,2181.6,0.2765953917042,2959.56085111119,2864.2606929737,10.1092896174863,2.57691860484548,1715.12593573562,18.63202609342295
