country_name,country_code,year,forest_area_in_per,cereal_yield,electricity_access_percent,renewable_energy_consumption,fossil_energy_use,energy_use_per_capita,emissions_total,emissions_per_capita,emissions_per_gdp,methane_emissions(kt_CO2_emissions),nitrous_oxide_emissions(mt_CO2_emissions),gdp_per_capita,pop_0014_percent,pop_1564_percent,pop_65up_percent,pop_growth_percent,pop_total,urban_pop_total,urban_pop_percent
Belarus,BLR,2006,41.8286480305958,2550.5,100.0,7.2,92.5839339124781,2965.37796655132,59119.9989318848,6.15517612964817,0.559233251744553,14550.0001907349,12600.0,3847.43412382153,15.028426940992,69.8509509074175,15.1206221515905,-0.612296198031047,9604924.0,6993921.0,72.816
Belarus,BLR,2007,42.0052143656266,2880.9,100.0,7.28,92.341801762508,2917.9070329077,57650.0015258789,6.02973380643947,0.488930255753967,14949.9998092651,12450.0,4735.65760793999,14.7996699771402,70.1730035031599,15.0273265196999,-0.458847535622636,9560953.0,7005597.0,73.273
Belarus,BLR,2008,42.1809543523474,3549.7,100.0,7.08,93.1867718536784,2932.1032726227,60529.9987792969,6.3528646171564,0.457073513560918,15770.0004577637,12990.0,6377.36973201232,14.7071065627852,70.4689580709751,14.8239353662397,-0.345415054298517,9527985.0,7024602.0,73.726
Belarus,BLR,2009,42.3577363995702,3367.9,100.0,7.39,91.7790718102573,2790.77788052353,57400.0015258789,6.03919199041966,0.429818243556288,15829.9999237061,13130.0,5352.5839116007,14.7620227394601,70.6737468816318,14.5642303789082,-0.245915441295321,9504583.0,7049739.0,74.172
Belarus,BLR,2010,42.5328483701491,2808.3,100.0,7.3,91.9955359666712,2902.10543497378,61669.9981689453,6.50264283027936,0.423298663491226,16299.9992370605,13030.0,6033.6862392722,14.9249385521774,70.749927014815,14.3251344330076,-0.218522755959381,9483836.0,7081770.0,74.672
Belarus,BLR,2011,42.5346212606574,3241.4,100.0,7.52,91.3924705961574,3101.43111508223,58549.9992370605,6.18814293004508,0.373607902100563,15979.9995422363,13530.0,6527.17386871642,15.1479736517475,70.6339761747769,14.2180501734757,-0.234282914157686,9461643.0,7114020.0,75.188
Belarus,BLR,2012,42.5403772320218,3479.1,100.0,7.25,91.0472704631043,3228.47300408306,59939.998626709,6.34498139130488,0.350449097554541,16250.0,13390.0,6953.13251493684,15.4280041705227,70.2892193721954,14.2827764572819,-0.156617600248906,9446836.0,7150971.0,75.697
Belarus,BLR,2013,42.5419401896426,3007.8,100.0,6.97,90.6720403103935,2888.46029173763,59990.0016784668,6.35271219487384,0.334455543076146,16920.0000762939,13150.0,7998.12523878099,15.7326645847987,69.7917989288459,14.4755364863553,-0.0383800002667846,9443211.0,7195632.0,76.199
Belarus,BLR,2014,42.5317653086864,3720.5,100.0,6.69,92.4403750165292,2936.57754684202,59500.0,6.29728586979012,0.331295541650272,16989.9997711182,12730.0,8341.39967861093,16.022717548785,69.2431543059312,14.7341281452839,0.056151567510169,9448515.0,7246350.0,76.693
Barbados,BRB,2004,14.6511627906977,2659.6,99.9967422485352,9.93,0.0,1396.62203683358,1360.00001430511,5.06508264019333,0.355917188224699,2269.99998092651,50.0,12828.4389489954,21.0837787005829,67.598368745461,11.3178525539562,0.375370773814513,268505.0,88706.0,33.037
Barbados,BRB,2005,14.6511627906977,2736.8,99.9804534912109,9.91,0.0,1447.24781706788,1419.99995708466,5.26946625160834,0.346610362575487,2269.99998092651,40.0,14173.7513776686,20.8271948997503,67.8477198425098,11.32508525774,0.361350772944923,269477.0,88499.0,32.841
Barbados,BRB,2006,14.6511627906977,2700.0,100.0,9.9,0.0,1471.75741887769,1470.00002861023,5.43588805994353,0.328023687819591,2269.99998092651,40.0,15595.6394564112,20.5490976257786,68.1189458834319,11.3319564907895,0.35117520374422,270425.0,88283.0,32.646
Barbados,BRB,2007,14.6511627906977,2666.7,100.0,9.71,0.0,1477.28444909447,1480.00001907349,5.45232172777254,0.315019761382045,2269.99998092651,40.0,17219.0486803908,20.3205817774569,68.3194323691074,11.3599858534357,0.376106107267713,271444.0,88086.0,32.451
Bangladesh,BGD,1991,14.7524759929323,2585.8,14.29,73.159667324204,44.671039180831,114.932508982694,10830.0,0.0991369374397592,0.0964096445614224,66360.0006103516,17220.0,283.382285281796,42.4371430970148,54.0747489484081,3.4881079545771,1.93654400062741,109242834.0,22129321.0,20.257
Bangladesh,BGD,1992,14.75247445648,2625.7,9.90541934967041,71.6607037258685,46.7280276168041,119.100032818648,11820.0,0.106226087110316,0.0975678984520938,67180.0003051758,17530.0,284.966977564282,41.9278794520846,54.5805207554158,3.49159979249965,1.84053318300066,111272102.0,22933180.0,20.61
Bangladesh,BGD,1993,14.7524729200277,2647.7,12.7178802490234,70.5571230240722,49.4568421395676,123.368844537769,12570.0,0.11082822923196,0.0967956790562204,67500.0,17920.0,292.425347405186,41.4054603860629,55.0979900969996,3.49654951693749,1.91082122823187,113418757.0,23779377.0,20.966
Bangladesh,BGD,1994,14.7524713835753,2475.9,17.8,68.9799071851049,50.2510969411006,126.404789846664,13540.0,0.117112941792247,0.0982626987753788,68470.0012207031,18570.0,292.078819525013,40.8586691447096,55.6416605727645,3.49967028252585,1.91779795618604,115614891.0,24658344.0,21.328
Bangladesh,BGD,1995,14.752469847123,2593.2,18.3380451202393,63.8028091687192,54.4091859282298,134.983406277187,16550.0,0.140500305713384,0.111908952620192,69339.9963378906,19850.0,322.087389769502,40.2819489660699,56.2079391272198,3.51011190671024,1.86669533165568,117793338.0,25552909.0,21.693
Bangladesh,BGD,1996,14.7524690788968,2694.2,21.1443862915039,62.1240765978699,56.0774174106019,133.423030371464,16830.0,0.140394058343266,0.106920146891751,69050.0030517578,20380.0,387.384863171262,39.6795481009731,56.7972112851664,3.52324061386055,1.75333998432405,119876868.0,26449632.0,22.064
Bangladesh,BGD,1997,14.7524675424445,2682.4,22.4,59.9728561221059,56.5733508486152,136.91054546675,18970.0,0.15544182490964,0.113381759444201,69589.9963378906,19910.0,395.318052357112,39.069314234545,57.3858222330328,3.5448635324222,1.78774016644232,122039226.0,27383162.0,22.438
Bangladesh,BGD,1998,14.7524660059922,2865.3,26.7461929321289,60.2339712856559,57.6288678437732,140.072931448728,19250.0,0.154804399574811,0.108174496091796,69269.9966430664,19950.0,401.96518010266,38.4674341120911,57.9370459320576,3.59551995585123,1.87614402927933,124350471.0,28374290.0,22.818
Bangladesh,BGD,1999,14.7524644695398,3116.4,29.5402145385742,60.5343957531165,57.2751260395643,139.239039927979,20110.0,0.1586527389285,0.106464752213123,71379.997253418,21190.0,404.486143135093,37.8757675526416,58.4477798651671,3.67645258219127,1.91507429803985,126754824.0,29409654.0,23.202
Bangladesh,BGD,2000,14.7524629330875,3384.4,32.0,59.06,57.9429198744077,141.353608766496,21650.0,0.167578314629207,0.10644410480086,72139.9993896484,21360.0,413.100185264402,37.3087113856894,58.9303644916583,3.76092412265225,1.90552404891968,129193327.0,30476706.0,23.59
Bangladesh,BGD,2001,14.7278904509488,3311.0,35.0326461791992,55.82,60.7230370992214,151.715322926891,25780.0,0.195791791879492,0.117967374977257,72489.9978637695,21840.0,410.048540904043,36.8215146076322,59.3449310932889,3.8335542990789,1.89925268099487,131670484.0,31727320.0,24.096
Bangladesh,BGD,2002,14.70331796881,3395.0,37.8510704040527,54.33,61.0466409333535,152.480017381266,27430.0003051758,0.204488116043745,0.119028917096128,73959.9990844727,22420.0,407.96296761642,36.4016138652215,59.6928461797766,3.90553995500188,1.85802653007171,134139826.0,33207655.0,24.756
Bangladesh,BGD,2003,14.6787454866713,3479.3,40.6642608642578,52.62,62.3942704009831,157.890086478995,28629.9991607666,0.209738657425867,0.116318684212456,75099.9984741211,21960.0,440.714404819588,36.0071595534802,60.014247430988,3.97859301553179,1.74653680101613,136503206.0,34711400.0,25.429
Bangladesh,BGD,2004,14.6541730045325,3439.4,40.5999984741211,52.05,62.4846473380633,158.16304124819,30530.0006866455,0.219973061310162,0.11478140696552,75110.0006103516,22100.0,469.116458369252,35.6110609052651,60.3398969196027,4.0490421751322,1.66119164263389,138789725.0,36243549.0,26.114
Bangladesh,BGD,2005,14.6296005223938,3681.6,44.2299995422363,50.66,63.3403529134445,161.758867678183,32709.9990844727,0.232129713068738,0.11192305515553,77029.9987792969,22880.0,492.808648889577,35.2089676132167,60.6742455045154,4.11678688226789,1.51797511096499,140912590.0,37777256.0,26.809
Bangladesh,BGD,2006,14.6050280402551,3761.4,50.5251007080078,48.69,65.3308779541877,171.227835415688,35900.0015258789,0.251702276981285,0.111708317202185,78510.0021362305,23910.0,503.538332188534,34.8620872451798,60.9507992812477,4.18711347357253,1.21058994053819,142628831.0,39247175.0,27.517
