iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
CXR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.700451,
CXR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.700462,
CXR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.700468,
STP,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.700582,
STP,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.700587,
STP,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.700598,
STP,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.700604,
CCK,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.700713,
CCK,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.700718,
CCK,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.700729,
CCK,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.700734,
BHS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.700841,
BHS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.700847,
BHS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.700857,
BHS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.700862,
PYF,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.700974,
PYF,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.700979,
PYF,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.701001,
PYF,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.701007,
SXM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.701124,
SXM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.701129,
SXM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.701139,
SXM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.701145,
LVA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,0,tonnes,annual,2022-09-05 15:48:05.699901,2022-09-15 16:29:30.315219
LVA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,0,tonnes,annual,2022-09-05 15:48:05.699907,2022-09-15 16:29:30.315219
LVA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,0,tonnes,annual,2022-09-05 15:48:05.699917,2022-09-15 16:29:30.315219
LVA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,0,tonnes,annual,2022-09-05 15:48:05.699922,2022-09-15 16:29:30.315219
SGS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.701266,
SGS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.701271,
SGS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.701281,
SGS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.701286,
MUS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.7014,
MUS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.701405,
MUS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.701417,
